cell_id,previous_prefix_cycle,current_prefix_cycle,candidate_id,candidate_family,history_row_count,future_row_count,base_trajectory_mae_pp,updated_trajectory_mae_pp,delta_mae_pp,mean_absolute_correction_pp,maximum_absolute_correction_pp
MATR_B3C17,20,40,offset_median_all_a0p25,robust_offset,20,260,0.065806480751177079,0.056054964071807455,-0.0097515166793696248,0.095490507587348006,0.095490507587348006
MATR_B3C18,20,40,offset_median_all_a0p25,robust_offset,20,260,0.17214303906574654,0.16881441818189513,-0.0033286208838514131,0.0035098388919205803,0.0035098388919205803
MATR_B3C19,20,40,offset_median_all_a0p25,robust_offset,20,260,0.17877484688331693,0.17073733406507216,-0.0080375128182447741,0.0083073712769099473,0.0083073712769099473
MATR_B3C20,20,40,offset_median_all_a0p25,robust_offset,20,260,0.1299644943834519,0.12417464180966729,-0.0057898525737846013,0.0060302866097661223,0.0060302866097661223
MATR_B3C21,20,40,offset_median_all_a0p25,robust_offset,20,260,0.11267906452977085,0.10950091092578605,-0.0031781536039847957,0.028924990370974513,0.028924990370974513
MATR_B3C22,20,40,offset_median_all_a0p25,robust_offset,20,260,0.28338420052535218,0.28086194116123248,-0.0025222593641197055,0.0027428381189960049,0.0027428381189960049
MATR_B3C24,20,40,offset_median_all_a0p25,robust_offset,20,260,0.047964945712260162,0.049820595087091191,0.0018556493748310282,0.0085742355467957054,0.0085742355467957054
MATR_B3C25,20,40,offset_median_all_a0p25,robust_offset,20,260,0.031593341088325663,0.029203119356041567,-0.0023902217322840959,0.0064661290877747746,0.0064661290877747746
MATR_B3C26,20,40,offset_median_all_a0p25,robust_offset,20,260,0.020676388685027983,0.020872791610857342,0.00019640292582935939,0.001037537881726891,0.001037537881726891
MATR_B3C27,20,40,offset_median_all_a0p25,robust_offset,20,260,0.022505753858798216,0.02579106241216865,0.0032853085533704335,0.0063984826915834958,0.0063984826915834958
MATR_B3C28,20,40,offset_median_all_a0p25,robust_offset,20,260,0.53550027549929313,0.50871575039840466,-0.026784525100888468,0.033884466370178501,0.033884466370178501
MATR_B3C29,20,40,offset_median_all_a0p25,robust_offset,20,260,0.14381001285802739,0.1487199794736821,0.0049099666156547095,0.0052625377389379224,0.0052625377389379224
MATR_B3C3,20,40,offset_median_all_a0p25,robust_offset,20,260,0.061959762534812821,0.068572847463622438,0.0066130849288096177,0.0071156251610542398,0.0071156251610542398
MATR_B3C30,20,40,offset_median_all_a0p25,robust_offset,20,260,0.038332452025794994,0.036576246472230602,-0.0017562055535643925,0.0030855828475395697,0.0030855828475395697
MATR_B3C31,20,40,offset_median_all_a0p25,robust_offset,20,260,0.023835763565533834,0.024437790091938839,0.00060202652640500495,0.0067638778519647502,0.0067638778519647502
MATR_B3C33,20,40,offset_median_all_a0p25,robust_offset,20,260,0.060255517190137199,0.057725192925455485,-0.0025303242646817145,0.0046111320710604531,0.0046111320710604531
MATR_B3C34,20,40,offset_median_all_a0p25,robust_offset,20,260,0.11514856931027675,0.1150791081571616,-6.946115311515233e-05,8.0624552719399389e-05,8.0624552719399389e-05
MATR_B3C35,20,40,offset_median_all_a0p25,robust_offset,20,260,0.2240655225445333,0.21798882623620186,-0.0060766963083314363,0.0062521445131462627,0.0062521445131462627
MATR_B3C36,20,40,offset_median_all_a0p25,robust_offset,20,260,0.16974605248394622,0.16871576408294281,-0.0010302884010034152,0.0010953535118503055,0.0010953535118503055
MATR_B3C38,20,40,offset_median_all_a0p25,robust_offset,20,260,0.23291165149915494,0.2241515740142962,-0.0087600774848587415,0.0093516107133009285,0.0093516107133009285
MATR_B3C39,20,40,offset_median_all_a0p25,robust_offset,20,260,0.034837250427442422,0.035468947451874844,0.00063169702443242187,0.0014231975545762054,0.0014231975545762054
MATR_B3C4,20,40,offset_median_all_a0p25,robust_offset,20,260,0.033756647474990915,0.026658599142855403,-0.0070980483321355127,0.010954881555093721,0.010954881555093721
MATR_B3C40,20,40,offset_median_all_a0p25,robust_offset,20,260,0.047120731740707918,0.044881693594397427,-0.0022390381463104903,0.0044343288312376217,0.0044343288312376217
MATR_B3C41,20,40,offset_median_all_a0p25,robust_offset,20,260,0.054600296812030866,0.051226911638129681,-0.0033733851739011847,0.0059091122494212556,0.0059091122494212556
MATR_B3C44,20,40,offset_median_all_a0p25,robust_offset,20,260,0.15400854102470676,0.15049810270942907,-0.0035104383152776975,0.0046658931704115503,0.0046658931704115503
MATR_B3C45,20,40,offset_median_all_a0p25,robust_offset,20,260,0.82728224068122225,0.81888379596201066,-0.0083984447192115841,0.008766005374541308,0.008766005374541308
MATR_B3C5,20,40,offset_median_all_a0p25,robust_offset,20,260,0.14247465393552528,0.13193590313321413,-0.010538750802311148,0.011522119063631209,0.011522119063631209
