paper_split,cell_id,prefix_cycle,model_id,trajectory_mae_pp,trajectory_rmse_pp,endpoint_absolute_error_pp
primary_test,MATR_B2C46,100,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.14796329433382369,0.21064900719194857,0.51982354911446293
primary_test,MATR_B2C47,20,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.43609541777800886,0.67725025413520146,1.8630988864483271
primary_test,MATR_B2C47,40,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.1957364389752265,0.33066424189496652,0.86486081259070602
primary_test,MATR_B2C47,60,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.41226832757927201,0.56489142710963958,1.1584235753924617
primary_test,MATR_B2C47,100,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.41827343449574594,0.55221449289864133,1.123740405612125
primary_test,MATR_B2C5,20,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.12515435480970666,0.24332371133646033,0.24766960964900875
primary_test,MATR_B2C5,40,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.061960759535225771,0.15892073298570752,0.11257525953023162
primary_test,MATR_B2C5,60,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.057050254661273968,0.10044296567316134,0.11632891325643868
primary_test,MATR_B2C5,100,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.032635826101856225,0.1090904746279468,0.0042125687950971269
secondary_test,MATR_B3C0,20,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.17065215574554157,0.22654914585394018,0.38853777521593713
secondary_test,MATR_B3C0,40,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.028878094256591862,0.038365876476898403,0.11894453388210025
secondary_test,MATR_B3C0,60,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.22240121567760335,0.24603434461937632,0.35392762678172573
secondary_test,MATR_B3C0,100,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.038147575183904013,0.042899879987571062,0.044984200760609383
secondary_test,MATR_B3C1,20,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.23644715196412688,0.30716928059281684,0.55177924430417136
secondary_test,MATR_B3C1,40,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.14187667162138895,0.16967349553590458,0.30231941890285441
secondary_test,MATR_B3C1,60,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.43726651838792935,0.50124834808030938,0.90024370957266342
secondary_test,MATR_B3C1,100,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.024824504591908506,0.030395194145313203,0.02735697611532828
secondary_test,MATR_B3C10,20,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.71590009774762409,0.78698183636533603,1.252635588327152
secondary_test,MATR_B3C10,40,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.51471797837211763,0.60392016106033863,1.0110236181510004
secondary_test,MATR_B3C10,60,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.31677043569956531,0.3688314918698094,0.70869229663030353
secondary_test,MATR_B3C10,100,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.022815464067824677,0.034909129541789832,0.017380664434398341
secondary_test,MATR_B3C11,20,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.081319199465967482,0.098002183493761941,0.15854761404254702
secondary_test,MATR_B3C11,40,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.03838992460537375,0.043311686129403594,0.047294736182863062
secondary_test,MATR_B3C11,60,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.059626120273717123,0.067995854633637859,0.12813649532422744
secondary_test,MATR_B3C11,100,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.016526613855738007,0.019940690069932963,0.016862707577772085
secondary_test,MATR_B3C12,20,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.19831716162581015,0.24243955926572863,0.43239091793236639
secondary_test,MATR_B3C12,40,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.19908246498348567,0.23824115728813311,0.40611397579360187
secondary_test,MATR_B3C12,60,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.26161123994510244,0.30449630356814372,0.55128903702859589
secondary_test,MATR_B3C12,100,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.13373823210731758,0.15267571658671561,0.2524943640805617
secondary_test,MATR_B3C13,20,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.4485285481150128,0.55231018145523947,1.0150652425462283
secondary_test,MATR_B3C13,40,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.038850021044317194,0.047160075893254827,0.12189882850023537
secondary_test,MATR_B3C13,60,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.18689246457691872,0.21496156675763789,0.3708673764839574
secondary_test,MATR_B3C13,100,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.026042359237417115,0.029273609625186662,0.0061275325973326744
secondary_test,MATR_B3C14,20,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.15549993193898629,0.17943467850014855,0.29366735489428208
secondary_test,MATR_B3C14,40,pairwise_extra_trees_leaf3_48__k12__weighted_mean,0.087000050844723315,0.096227204034022198,0.087049867291042915
